-23639,-185720,-158361,787946,382996,-1413654,1745274,767340,-4644480,5879076,-238947,-10558540,17245182,-8807584,-15646251,39757694,-37310547,-6026647,71637388,-107463705,56199102,102404035,-325008490,516149247,1544130268,531827336,-325295421,98394466,59665514,-108533017,70690556,-4483956,-38238459,39726873,-15062395,-9341031,17402623,-10400548,-464829,5988438,-4619413,693713,1788007,-1411318,361767,797713,-153130,-188002,-24395,-651,
-22900,-183431,-163453,778030,403940,-1415222,1702055,840007,-4666917,5767378,-14431,-10709842,17079324,-8272378,-16218316,39766478,-36366937,-7557852,72539371,-106340918,52723926,106325122,-324544222,500512392,1543842702,547542074,-325402896,94297877,63121202,-109547950,69699155,-2930576,-39150074,39673913,-14467004,-9872416,17551509,-10235908,-691965,6095386,-4591707,619157,1830226,-1408211,340259,807324,-147759,-190275,-25169,-151,
-22179,-181135,-168406,767971,424591,-1416031,1658376,911685,-4686730,5653419,208606,-10854415,16905190,-7735718,-16778341,39753338,-35408233,-9076788,73396253,-105165584,49241940,110156326,-323904795,484921325,1543267666,563288845,-325328853,90115781,66564197,-110507627,68663492,-1367313,-40044799,39598723,-13860345,-10401434,17691707,-10064669,-920238,6199847,-4561358,543705,1871907,-1404325,318480,816774,-142248,-192538,-25961,-168,
-21474,-178835,-173222,757773,444945,-1416085,1614263,982345,-4703930,5537278,430055,-10992221,16722925,-7197906,-17326083,39718401,-34435044,-10582679,74207805,-103938654,45755089,113896300,-323092442,469380565,1542405357,579063004,-325071292,85849750,69992526,-111411193,67583898,205018,-40922046,39501224,-13242690,-10927778,17823087,-9886882,-1149534,6301747,-4528361,467387,1913021,-1399658,296437,826058,-136598,-194791,-26772,-186,
-20787,-176530,-177899,747444,464993,-1415392,1569743,1051957,-4718527,5419030,649806,-11123229,16532678,-6659243,-17861311,39661802,-33447986,-12074763,74973827,-102661100,42265306,117543754,-322109453,453894597,1541256067,594859881,-324628271,81501412,73404210,-112257820,66460732,1785591,-41781236,39381350,-12614320,-11451143,17945523,-9702603,-1379734,6401010,-4492714,390237,1953543,-1394203,274137,835169,-130807,-197032,-27601,-206,
-20116,-174222,-182439,736987,484730,-1413958,1524843,1120494,-4730532,5298756,867752,-11247413,16334602,-6120031,-18383798,39583690,-32447676,-13552288,75694142,-101333918,38774517,121097457,-320958170,438467867,1539820185,610674777,-323997914,77072447,76797267,-113046707,65294377,3373573,-42621796,39239046,-11975522,-11971223,18058893,-9511890,-1610719,6497567,-4454417,312289,1993446,-1387957,251589,844103,-124876,-199259,-28448,-227,
-19462,-171911,-186843,726410,504151,-1411791,1479588,1187930,-4739961,5176533,1083789,-11364747,16128852,-5580568,-18893328,39484225,-31434738,-15014516,76368603,-99958124,35284633,124556234,-319640989,423104783,1538098199,626502974,-323178406,72564592,80169711,-113777080,64085244,4968121,-43443158,39074271,-11326593,-12487712,18163081,-9314808,-1842369,6591344,-4413468,233578,2032705,-1380915,228800,852852,-118805,-201472,-29315,-250,
-18824,-169600,-191110,715718,523249,-1408898,1434006,1254238,-4746826,5052442,1297812,-11475211,15915586,-5041151,-19389693,39363575,-30409797,-16460718,76997086,-98534756,31797554,127918967,-318160355,407809713,1536090693,642339729,-322167997,67979635,83519556,-114448191,62833768,6568384,-44244766,38886993,-10667835,-13000304,18257973,-9111423,-2074564,6682271,-4369870,154137,2071292,-1373074,205778,861412,-112594,-203669,-30200,-274,
-18201,-167288,-195243,704915,542019,-1405287,1388122,1319394,-4751145,4926561,1509720,-11578790,15694966,-4502076,-19872693,39221922,-29373485,-17890182,77579494,-97064872,28315167,131184598,-316518767,392586982,1533798347,658180281,-320965004,63319422,86844814,-115059321,61540411,8173504,-45026068,38677194,-9999557,-13508694,18343461,-8901806,-2307179,6770279,-4323626,74004,2109183,-1364431,182532,869777,-106242,-205850,-31105,-300,
-17595,-164977,-199241,694009,560456,-1400966,1341962,1383372,-4752934,4798972,1719412,-11675471,15467159,-3963636,-20342137,39059457,-28326433,-19302206,78115755,-95549548,24839343,134352125,-314718768,377440874,1531221939,674019849,-319567807,58585849,90143497,-115609781,60205662,9782615,-45786523,38444871,-9322078,-14012578,18419441,-8686032,-2540093,6855299,-4274740,-6786,2146352,-1354983,159070,877941,-99750,-208012,-32030,-328,
